,ProbeID,GeneName,Approved symbol,GeneSymbol,Description,RefSeq,EntrezID
24432,A_33_P3410599,"family with sequence similarity 46, member A",TENT5A,FAM46A,"Homo sapiens family with sequence similarity 46, member A (FAM46A), mRNA [NM_017633]",NM_017633,55603.0
13955,A_23_P89101,septin 12,SEPTIN12,2015-09-12 00:00:00,"Homo sapiens septin 12 (SEPT12), transcript variant 2, mRNA [NM_144605]",NM_144605,124404.0
14028,A_33_P3360216,"histone cluster 1, H2ai",H2AC13,HIST1H2AI,"Homo sapiens histone cluster 1, H2ai (HIST1H2AI), mRNA [NM_003509]",NM_003509,8329.0
14037,A_33_P3305173,retrotransposon gag domain containing 4,RTL5,RGAG4,"Homo sapiens retrotransposon gag domain containing 4 (RGAG4), mRNA [NM_001024455]",NM_001024455,340526.0
14084,A_24_P144784,"histone linker H1 domain, spermatid-specific 1, pseudogene",H1-9P,HILS1,"Homo sapiens histone linker H1 domain, spermatid-specific 1, pseudogene (HILS1), transcript variant 1, non-coding RNA [NR_024193]",NR_024193,373861.0
14101,A_23_P326893,coiled-coil domain containing 151,ODAD3,CCDC151,"Homo sapiens coiled-coil domain containing 151 (CCDC151), mRNA [NM_145045]",NM_145045,115948.0
14122,A_33_P3671647,uncharacterized LOC441025,LINC02483,LOC441025,"Homo sapiens uncharacterized LOC441025 (LOC441025), long non-coding RNA [NR_033964]",NR_033964,441025.0
14159,A_32_P213965,uncharacterized LOC100507205,LINC02740,LOC100507205,"Homo sapiens uncharacterized LOC100507205 (LOC100507205), long non-coding RNA [NR_038309]",NR_038309,100507205.0
14173,A_33_P3243554,septin 6,SEPTIN6,2015-09-06 00:00:00,"Homo sapiens septin 6 (SEPT6), transcript variant V, mRNA [NM_145802]",NM_145802,23157.0
16868,A_23_P22614,septin 6,SEPTIN6,2015-09-06 00:00:00,"Homo sapiens septin 6 (SEPT6), transcript variant V, mRNA [NM_145802]",NM_145802,23157.0
14193,A_33_P3280147,FLJ45079 protein,LINC01973,FLJ45079,"Homo sapiens FLJ45079 protein (FLJ45079), long non-coding RNA [NR_028337]",NR_028337,400624.0
14200,A_33_P3326713,"family with sequence similarity 188, member B",MINDY4,FAM188B,"Homo sapiens family with sequence similarity 188, member B (FAM188B), mRNA [NM_032222]",NM_032222,84182.0
18359,A_24_P126425,"family with sequence similarity 188, member B",MINDY4,FAM188B,"Homo sapiens family with sequence similarity 188, member B (FAM188B), mRNA [NM_032222]",NM_032222,84182.0
14215,A_23_P18824,PAP associated domain containing 7,TENT4A,PAPD7,"Homo sapiens PAP associated domain containing 7 (PAPD7), transcript variant 1, mRNA [NM_006999]",NM_006999,11044.0
14235,A_23_P366216,"histone cluster 1, H2bh",H2BC9,HIST1H2BH,"Homo sapiens histone cluster 1, H2bh (HIST1H2BH), mRNA [NM_003524]",NM_003524,8345.0
14372,A_23_P398372,chromosome 9 open reading frame 69,TMEM250,C9orf69,"Homo sapiens chromosome 9 open reading frame 69 (C9orf69), transcript variant 2, mRNA [NM_001256526]",NM_152833,90120.0
14397,A_33_P3313830,uncharacterized LOC644873,LINC01184,FLJ33630,"Homo sapiens uncharacterized LOC644873 (FLJ33630), long non-coding RNA [NR_015360]",NR_015360,
14408,A_23_P43238,nicotinate phosphoribosyltransferase domain containing 1,NAPRT,NAPRT1,"Homo sapiens nicotinate phosphoribosyltransferase domain containing 1 (NAPRT1), transcript variant 1, mRNA [NM_145201]",NM_145201,93100.0
14436,A_33_P3226167,"family with sequence similarity 129, member B",NIBAN2,FAM129B,"Homo sapiens family with sequence similarity 129, member B (FAM129B), transcript variant 1, mRNA [NM_022833]",NM_022833,64855.0
14440,A_23_P100392,"transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)",ELOB,TCEB2,"Homo sapiens transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B) (TCEB2), transcript variant 1, mRNA [NM_007108]",NM_007108,6923.0
14467,A_32_P180210,"family with sequence similarity 35, member A",SHLD2,FAM35A,"Homo sapiens family with sequence similarity 35, member A (FAM35A), mRNA [NM_019054]",NM_019054,54537.0
26869,A_23_P127279,"family with sequence similarity 35, member A",SHLD2,FAM35A,"Homo sapiens family with sequence similarity 35, member A (FAM35A), mRNA [NM_019054]",NM_019054,54537.0
14470,A_33_P3321432,"family with sequence similarity 198, member B",GASK1B,FAM198B,"Homo sapiens family with sequence similarity 198, member B (FAM198B), transcript variant 2, mRNA [NM_016613]",NM_016613,51313.0
14509,A_23_P124300,"beta-carotene 15,15'-monooxygenase 1",BCO1,BCMO1,"Homo sapiens beta-carotene 15,15'-monooxygenase 1 (BCMO1), mRNA [NM_017429]",NM_017429,53630.0
14524,A_33_P3375790,ret finger protein-like 4A-like 1,RFPL4A,RFPL4AL1,"Homo sapiens ret finger protein-like 4A-like 1 (RFPL4AL1), mRNA [NM_001277397]",NM_001145014,729974.0
30906,A_33_P3366127,ret finger protein-like 4A-like 1,RFPL4A,RFPL4AL1,"Homo sapiens ret finger protein-like 4A-like 1 (RFPL4AL1), mRNA [NM_001277397]",NM_001145014,729974.0
14543,A_23_P140907,transmembrane protein 8A,PGAP6,TMEM8A,"Homo sapiens transmembrane protein 8A (TMEM8A), mRNA [NM_021259]",NM_021259,58986.0
14598,A_33_P3309110,uncharacterized LOC100506713,ALOX12-AS1,LOC100506713,"Homo sapiens uncharacterized LOC100506713 (LOC100506713), long non-coding RNA [NR_040089]",NR_040089,100506713.0
14614,A_32_P198325,"family with sequence similarity 211, member B",LRRC75B,FAM211B,"Homo sapiens family with sequence similarity 211, member B (FAM211B), mRNA [NM_207644]",NM_207644,
14616,A_33_P3350853,PAXIP1 antisense RNA 1 (head to head),PAXIP1-DT,PAXIP1-AS1,"Homo sapiens PAXIP1 antisense RNA 1 (head to head) (PAXIP1-AS1), long non-coding RNA [NR_028090]",NR_028090,202781.0
14653,A_32_P158302,long intergenic non-protein coding RNA 998,SMIM30,LINC00998,"Homo sapiens long intergenic non-protein coding RNA 998 (LINC00998), transcript variant 1, long non-coding RNA [NR_024412]",NR_024412,401397.0
25806,A_32_P54305,long intergenic non-protein coding RNA 998,SMIM30,LINC00998,"Homo sapiens long intergenic non-protein coding RNA 998 (LINC00998), transcript variant 1, long non-coding RNA [NR_024412]",NR_024412,401397.0
14700,A_33_P3384498,uncharacterized LOC100128946,LINC01310,LOC100128946,"Homo sapiens uncharacterized LOC100128946 (LOC100128946), long non-coding RNA [NR_038944]",NR_038944,
29101,A_33_P3384502,uncharacterized LOC100128946,LINC01310,LOC100128946,"Homo sapiens uncharacterized LOC100128946 (LOC100128946), long non-coding RNA [NR_038944]",NR_038944,
14711,A_23_P45185,c-fos induced growth factor (vascular endothelial growth factor D),VEGFD,FIGF,"Homo sapiens c-fos induced growth factor (vascular endothelial growth factor D) (FIGF), mRNA [NM_004469]",NM_004469,2277.0
14728,A_33_P3387756,chromosome 20 open reading frame 201,LKAAEAR1,C20orf201,"Homo sapiens chromosome 20 open reading frame 201 (C20orf201), mRNA [NM_001007125]",NM_001007125,
29169,A_23_P348524,chromosome 20 open reading frame 201,LKAAEAR1,C20orf201,"Homo sapiens chromosome 20 open reading frame 201 (C20orf201), mRNA [NM_001007125]",NM_001007125,
14823,A_23_P66732,germ cell associated 2 (haspin),HASPIN,GSG2,"Homo sapiens germ cell associated 2 (haspin) (GSG2), mRNA [NM_031965]",NM_031965,83903.0
14847,A_33_P3341648,tetratricopeptide repeat domain 40,CFAP46,TTC40,"Homo sapiens tetratricopeptide repeat domain 40 (TTC40), mRNA [NM_001200049]",NM_001200049,54777.0
27764,A_23_P75179,tetratricopeptide repeat domain 40,CFAP46,TTC40,"Homo sapiens tetratricopeptide repeat domain 40 (TTC40), mRNA [NM_001200049]",NM_001200049,54777.0
32706,A_33_P3246188,tetratricopeptide repeat domain 40,CFAP46,TTC40,"Homo sapiens tetratricopeptide repeat domain 40 (TTC40), mRNA [NM_001200049]",NM_001200049,54777.0
14856,A_33_P3395321,hematological and neurological expressed 1,JPT1,HN1,"Homo sapiens hematological and neurological expressed 1 (HN1), transcript variant 2, mRNA [NM_001002032]",NM_001002032,51155.0
14860,A_23_P167723,F-box and leucine-rich repeat protein 21 (gene/pseudogene),FBXL21P,FBXL21,"Homo sapiens F-box and leucine-rich repeat protein 21 (gene/pseudogene) (FBXL21), mRNA [NM_012159]",NM_012159,26223.0
14861,A_33_P3375506,uncharacterized LOC100133123,LINC01203,LOC100133123,"Homo sapiens uncharacterized LOC100133123 (LOC100133123), long non-coding RNA [NR_045260]",NR_045260,
14866,A_23_P46429,"cysteine-rich, angiogenic inducer, 61",CCN1,CYR61,"Homo sapiens cysteine-rich, angiogenic inducer, 61 (CYR61), mRNA [NM_001554]",NM_001554,3491.0
14928,A_24_P288890,"family with sequence similarity 101, member A",RFLNA,FAM101A,"Homo sapiens family with sequence similarity 101, member A (FAM101A), mRNA [NM_181709]",NM_181709,144347.0
22816,A_33_P3342443,RAS p21 protein activator 4B,RASA4,RASA4B,"Homo sapiens RAS p21 protein activator 4B (RASA4B), mRNA [NM_001277335]",NM_006989,100271927.0
14952,A_33_P3245824,PQ loop repeat containing 1,SLC66A2,PQLC1,"Homo sapiens PQ loop repeat containing 1 (PQLC1), transcript variant 1, mRNA [NM_025078]",NM_025078,80148.0
26816,A_24_P181677,PQ loop repeat containing 1,SLC66A2,PQLC1,"Homo sapiens PQ loop repeat containing 1 (PQLC1), transcript variant 1, mRNA [NM_025078]",NM_025078,80148.0
14977,A_33_P3359473,suppressor of variegation 4-20 homolog 2 (Drosophila),KMT5C,SUV420H2,"Homo sapiens suppressor of variegation 4-20 homolog 2 (Drosophila) (SUV420H2), mRNA [NM_032701]",NM_032701,84787.0
14999,A_23_P42855,chromosome 7 open reading frame 62,TEX47,C7orf62,"Homo sapiens chromosome 7 open reading frame 62 (C7orf62), mRNA [NM_152706]",NM_152706,219557.0
15002,A_33_P3384392,"adrenergic, beta, receptor kinase 1",GRK2,ADRBK1,"Homo sapiens adrenergic, beta, receptor kinase 1 (ADRBK1), mRNA [NM_001619]",NM_001619,156.0
15009,A_33_P3282641,NmrA-like family domain containing 1 pseudogene,NMRAL2P,LOC344887,"Homo sapiens NmrA-like family domain containing 1 pseudogene (LOC344887), non-coding RNA [NR_033752]",NR_033752,344887.0
21576,A_24_P68908,NmrA-like family domain containing 1 pseudogene,NMRAL2P,LOC344887,"Homo sapiens NmrA-like family domain containing 1 pseudogene (LOC344887), non-coding RNA [NR_033752]",NR_033752,344887.0
15045,A_23_P42198,"histone cluster 1, H3g",H3C8,HIST1H3G,"Homo sapiens histone cluster 1, H3g (HIST1H3G), mRNA [NM_003534]",NM_003534,8355.0
15046,A_23_P86504,chromosome 10 open reading frame 76,ARMH3,C10orf76,"Homo sapiens chromosome 10 open reading frame 76 (C10orf76), mRNA [NM_024541]",NM_024541,79591.0
15061,A_23_P369328,chromosome 10 open reading frame 35,FAM241B,C10orf35,"Homo sapiens chromosome 10 open reading frame 35 (C10orf35), mRNA [NM_145306]",NM_145306,219738.0
15115,A_33_P3328736,coiled-coil domain containing 23,SVBP,CCDC23,"Homo sapiens coiled-coil domain containing 23 (CCDC23), mRNA [NM_199342]",NM_199342,374969.0
27514,A_24_P263937,coiled-coil domain containing 23,SVBP,CCDC23,"Homo sapiens coiled-coil domain containing 23 (CCDC23), mRNA [NM_199342]",NM_199342,374969.0
15145,A_24_P68631,"histone cluster 2, H2ab",H2AC21,HIST2H2AB,"Homo sapiens histone cluster 2, H2ab (HIST2H2AB), mRNA [NM_175065]",NM_175065,317772.0
15172,A_33_P3239317,uncharacterized LOC400752,LINC01144,LOC400752,"Homo sapiens uncharacterized LOC400752 (LOC400752), long non-coding RNA [NR_024270]",NR_024270,
15186,A_23_P26674,KIAA0430,MARF1,KIAA0430,"Homo sapiens KIAA0430 (KIAA0430), transcript variant 1, mRNA [NM_014647]",NM_014647,9665.0
15209,A_33_P3809497,uncharacterized LOC400087,LINC02393,FLJ37505,"Homo sapiens uncharacterized LOC400087 (FLJ37505), long non-coding RNA [NR_033987]",NR_033987,400087.0
15263,A_24_P555473,"membrane-associated ring finger (C3HC4) 3, E3 ubiquitin protein ligase",MARCHF3,2015-03-03 00:00:00,"Homo sapiens membrane-associated ring finger (C3HC4) 3, E3 ubiquitin protein ligase (MARCH3), mRNA [NM_178450]",NM_178450,115123.0
30342,A_23_P321511,"membrane-associated ring finger (C3HC4) 3, E3 ubiquitin protein ligase",MARCHF3,2015-03-03 00:00:00,"Homo sapiens membrane-associated ring finger (C3HC4) 3, E3 ubiquitin protein ligase (MARCH3), mRNA [NM_178450]",NM_178450,115123.0
15307,A_33_P3422654,uncharacterized LOC100133985,LINC01816,LOC100133985,"Homo sapiens uncharacterized LOC100133985 (LOC100133985), long non-coding RNA [NR_024444]",NR_024444,100133985.0
15377,A_23_P386168,proline rich 24,INAFM1,PRR24,"Homo sapiens proline rich 24 (PRR24), transcript variant 1, mRNA [NM_178511]",NM_178511,255783.0
15393,A_23_P323685,"histone cluster 1, H4h",H4C8,HIST1H4H,"Homo sapiens histone cluster 1, H4h (HIST1H4H), mRNA [NM_003543]",NM_003543,8365.0
15403,A_33_P3382830,uncharacterized LOC643623,LINC02523,LOC643623,"Homo sapiens uncharacterized LOC643623 (LOC643623), long non-coding RNA [NR_038906]",NR_038906,643623.0
15464,A_32_P206839,uncharacterized LOC100288911,CRIM1-DT,LOC100288911,"Homo sapiens uncharacterized LOC100288911 (LOC100288911), long non-coding RNA [NR_037631]",NR_037631,100288911.0
15480,A_24_P925635,septin 7 pseudogene 2,SEPTIN7P2,SEPT7P2,"Homo sapiens septin 7 pseudogene 2 (SEPT7P2), non-coding RNA [NR_024271]",NR_024271,641977.0
15522,A_33_P3338186,"hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing",HEXD,HEXDC,"Homo sapiens hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing (HEXDC), mRNA [NM_173620]",NM_173620,284004.0
15610,A_24_P753476,growth arrest-specific 2 like 1 pseudogene,GAS2L1P2,LOC340508,"Homo sapiens growth arrest-specific 2 like 1 pseudogene (LOC340508), non-coding RNA [NR_002942]",NR_002942,
15654,A_23_P52974,gastric intrinsic factor (vitamin B synthesis),CBLIF,GIF,"Homo sapiens gastric intrinsic factor (vitamin B synthesis) (GIF), mRNA [NM_005142]",NM_005142,2694.0
15660,A_24_P172990,alanyl-tRNA synthetase,AARS1,AARS,"Homo sapiens alanyl-tRNA synthetase (AARS), mRNA [NM_001605]",NM_001605,16.0
15714,A_23_P27724,"selenoprotein W, 1",SELENOW,SEPW1,"Homo sapiens selenoprotein W, 1 (SEPW1), mRNA [NM_003009]",NM_003009,6415.0
21077,A_33_P3326432,"selenoprotein W, 1",SELENOW,SEPW1,"Homo sapiens selenoprotein W, 1 (SEPW1), mRNA [NM_003009]",NM_003009,6415.0
15773,A_33_P3390391,glioma tumor suppressor candidate region gene 1,BICRA,GLTSCR1,"Homo sapiens glioma tumor suppressor candidate region gene 1 (GLTSCR1), mRNA [NM_015711]",NM_015711,29998.0
30448,A_24_P31421,glioma tumor suppressor candidate region gene 1,BICRA,GLTSCR1,"Homo sapiens glioma tumor suppressor candidate region gene 1 (GLTSCR1), mRNA [NM_015711]",NM_015711,29998.0
15804,A_23_P86943,signal recognition particle receptor (docking protein),SRPRA,SRPR,"Homo sapiens signal recognition particle receptor (docking protein) (SRPR), transcript variant 1, mRNA [NM_003139]",NM_003139,6734.0
15852,A_23_P255376,coiled-coil domain containing 109B,MCUB,CCDC109B,"Homo sapiens coiled-coil domain containing 109B (CCDC109B), mRNA [NM_017918]",NM_017918,55013.0
15854,A_33_P3372674,chromosome 6 open reading frame 164,LINC01590,C6orf164,"Homo sapiens chromosome 6 open reading frame 164 (C6orf164), long non-coding RNA [NR_026784]",NR_026784,63914.0
25274,A_23_P418431,chromosome 6 open reading frame 164,LINC01590,C6orf164,"Homo sapiens chromosome 6 open reading frame 164 (C6orf164), long non-coding RNA [NR_026784]",NR_026784,63914.0
17815,A_33_P3238777,uncharacterized LOC729218,LINC01002,LOC729218,"Homo sapiens uncharacterized LOC729218 (LOC729218), non-coding RNA [NR_103825]",NR_028324,729218.0
15868,A_23_P6413,selenoprotein M,SELENOM,SELM,"Homo sapiens selenoprotein M (SELM), mRNA [NM_080430]",NM_080430,140606.0
15880,A_23_P218549,"egf-like module containing, mucin-like, hormone receptor-like 3",ADGRE3,EMR3,"Homo sapiens egf-like module containing, mucin-like, hormone receptor-like 3 (EMR3), mRNA [NM_032571]",NM_032571,84658.0
15905,A_33_P3328270,chromosome 9 open reading frame 172,AJM1,C9orf172,"Homo sapiens chromosome 9 open reading frame 172 (C9orf172), mRNA [NM_001080482]",NM_001080482,389813.0
15946,A_33_P3403748,chromosome 11 open reading frame 83,UQCC3,C11orf83,"Homo sapiens chromosome 11 open reading frame 83 (C11orf83), mRNA [NM_001085372]",NM_001085372,790955.0
16009,A_23_P143474,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",ATP5PO,ATP5O,"Homo sapiens ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (ATP5O), mRNA [NM_001697]",NM_001697,539.0
16010,A_33_P3312642,chromosome X open reading frame 64,PRR32,CXorf64,"Homo sapiens chromosome X open reading frame 64 (CXorf64), mRNA [NM_001122716]",NM_001122716,
16017,A_23_P76983,coiled-coil domain containing 176,BBOF1,CCDC176,"Homo sapiens coiled-coil domain containing 176 (CCDC176), mRNA [NM_025057]",NM_025057,80127.0
18864,A_33_P3409337,coiled-coil domain containing 176,BBOF1,CCDC176,"Homo sapiens coiled-coil domain containing 176 (CCDC176), mRNA [NM_025057]",NM_025057,80127.0
16050,A_23_P218158,"SMEK homolog 1, suppressor of mek1 (Dictyostelium)",PPP4R3A,SMEK1,"Homo sapiens SMEK homolog 1, suppressor of mek1 (Dictyostelium) (SMEK1), transcript variant 3, mRNA [NM_001284280]",NM_032560,55671.0
16104,A_23_P94301,tissue specific transplantation antigen P35B,GFUS,TSTA3,"Homo sapiens tissue specific transplantation antigen P35B (TSTA3), mRNA [NM_003313]",NM_003313,7264.0
16162,A_24_P118938,chromosome 20 open reading frame 112,NOL4L,C20orf112,"Homo sapiens chromosome 20 open reading frame 112 (C20orf112), transcript variant 1, mRNA [NM_001256798]",NM_080616,140688.0
25006,A_33_P3366048,chromosome 20 open reading frame 112,NOL4L,C20orf112,"Homo sapiens chromosome 20 open reading frame 112 (C20orf112), transcript variant 1, mRNA [NM_001256798]",NM_080616,140688.0
31405,A_33_P3271284,chromosome 20 open reading frame 112,NOL4L,C20orf112,"Homo sapiens chromosome 20 open reading frame 112 (C20orf112), transcript variant 1, mRNA [NM_001256798]",NM_080616,140688.0
16175,A_33_P3367726,"bromodomain, testis-specific pseudogene",BRDTP1,LOC643486,"Homo sapiens bromodomain, testis-specific pseudogene (LOC643486), non-coding RNA [NR_003539]",NR_003539,643486.0
16189,A_33_P3249329,rcRPE,RPEL1,LOC729020,"Homo sapiens rcRPE (LOC729020), mRNA [NM_001143909]",NM_001143909,
16194,A_33_P3222788,uncharacterized LOC100188947,HECTD2-AS1,LOC100188947,"Homo sapiens uncharacterized LOC100188947 (LOC100188947), long non-coding RNA [NR_024467]",NR_024467,100188947.0
16258,A_33_P3290800,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B,INTS6L,DDX26B,"Homo sapiens DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B (DDX26B), mRNA [NM_182540]",NM_182540,203522.0
28375,A_23_P363647,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B,INTS6L,DDX26B,"Homo sapiens DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B (DDX26B), mRNA [NM_182540]",NM_182540,203522.0
16329,A_33_P3253089,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A1",TAFA1,FAM19A1,"Homo sapiens family with sequence similarity 19 (chemokine (C-C motif)-like), member A1 (FAM19A1), transcript variant 1, mRNA [NM_213609]",NM_213609,407738.0
25405,A_32_P117693,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A1",TAFA1,FAM19A1,"Homo sapiens family with sequence similarity 19 (chemokine (C-C motif)-like), member A1 (FAM19A1), transcript variant 1, mRNA [NM_213609]",NM_213609,407738.0
16340,A_24_P350744,KIAA0907,KHDC4,KIAA0907,"Homo sapiens KIAA0907 (KIAA0907), mRNA [NM_014949]",NM_014949,22889.0
29519,A_23_P74467,KIAA0907,KHDC4,KIAA0907,"Homo sapiens KIAA0907 (KIAA0907), mRNA [NM_014949]",NM_014949,22889.0
16394,A_33_P3625172,uncharacterized LOC399821,EDRF1-DT,FLJ37035,"Homo sapiens uncharacterized LOC399821 (FLJ37035), long non-coding RNA [NR_033847]",NR_033847,399821.0
16396,A_23_P430792,chromosome 17 open reading frame 66,HEATR9,C17orf66,"Homo sapiens chromosome 17 open reading frame 66 (C17orf66), mRNA [NM_152781]",NM_152781,
16402,A_23_P77455,"family with sequence similarity 96, member B",CIAO2B,FAM96B,"Homo sapiens family with sequence similarity 96, member B (FAM96B), transcript variant 1, mRNA [NM_016062]",NM_016062,51647.0
16437,A_33_P3335740,uncharacterized protein FLJ10038,GABPB1-IT1,FLJ10038,"Homo sapiens uncharacterized protein FLJ10038 (FLJ10038), long non-coding RNA [NR_026891]",NR_026891,55056.0
16445,A_33_P3267435,"family with sequence similarity 183, member C, pseudogene",LINC02209,FAM183CP,"Homo sapiens family with sequence similarity 183, member C, pseudogene (FAM183CP), long non-coding RNA [NR_024473]",NR_024473,286135.0
16475,A_23_P58390,chromosome 4 open reading frame 32,FAM241A,C4orf32,"Homo sapiens chromosome 4 open reading frame 32 (C4orf32), mRNA [NM_152400]",NM_152400,132720.0
16481,A_23_P98930,KIAA1551,RESF1,KIAA1551,"Homo sapiens KIAA1551 (KIAA1551), mRNA [NM_018169]",NM_018169,55196.0
16483,A_33_P3345051,uncharacterized LOC100507003,GFY,LOC100507003,"Homo sapiens uncharacterized LOC100507003 (LOC100507003), mRNA [NM_001195256]",NM_001195256,
16492,A_23_P43276,G protein-coupled receptor 124,ADGRA2,GPR124,"Homo sapiens G protein-coupled receptor 124 (GPR124), mRNA [NM_032777]",NM_032777,25960.0
16500,A_32_P174025,selenoprotein V,SELENOV,SELV,"Homo sapiens selenoprotein V (SELV), mRNA [NM_182704]",NM_182704,348303.0
31682,A_33_P3243138,selenoprotein V,SELENOV,SELV,"Homo sapiens selenoprotein V (SELV), mRNA [NM_182704]",NM_182704,348303.0
16517,A_23_P255701,leucine rich repeat containing 48,DRC3,LRRC48,"Homo sapiens leucine rich repeat containing 48 (LRRC48), transcript variant 2, mRNA [NM_031294]",NM_031294,83450.0
16530,A_33_P3279798,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B)",DMAC2L,ATP5S,"Homo sapiens ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B) (ATP5S), transcript variant 3, mRNA [NM_015684]",NM_015684,27109.0
16550,A_33_P3312611,uncharacterized LOC643723,LYPLAL1-DT,LOC643723,"Homo sapiens uncharacterized LOC643723 (LOC643723), long non-coding RNA [NR_038845]",NR_038845,643723.0
16618,A_33_P3507542,leprecan-like 2,P3H3,LEPREL2,"Homo sapiens leprecan-like 2 (LEPREL2), mRNA [NM_014262]",NM_014262,10536.0
16687,A_23_P324490,KIAA0355,GARRE1,KIAA0355,"Homo sapiens KIAA0355 (KIAA0355), mRNA [NM_014686]",NM_014686,9710.0
16703,A_23_P436281,"histone cluster 2, H4b",H4C15,HIST2H4B,"Homo sapiens histone cluster 2, H4b (HIST2H4B), mRNA [NM_001034077]",NM_001034077,554313.0
16716,A_33_P3418185,Ly6/neurotoxin 1,LYNX1-SLURP2,LYNX1,"Homo sapiens Ly6/neurotoxin 1 (LYNX1), transcript variant 1, mRNA [NM_023946]",NM_023946,66004.0
18555,A_33_P3418194,Ly6/neurotoxin 1,LYNX1-SLURP2,LYNX1,"Homo sapiens Ly6/neurotoxin 1 (LYNX1), transcript variant 1, mRNA [NM_023946]",NM_023946,66004.0
29366,A_33_P3418175,Ly6/neurotoxin 1,LYNX1-SLURP2,LYNX1,"Homo sapiens Ly6/neurotoxin 1 (LYNX1), transcript variant 1, mRNA [NM_023946]",NM_023946,66004.0
16744,A_33_P3414487,Williams Beuren syndrome chromosome region 22,BUD23,WBSCR22,"Homo sapiens Williams Beuren syndrome chromosome region 22 (WBSCR22), transcript variant 1, mRNA [NM_001202560]",NM_001202560,114049.0
16757,A_33_P3412838,cancer/testis antigen 60 (non-protein coding),LINC01193,CT60,"Homo sapiens cancer/testis antigen 60 (non-protein coding) (CT60), long non-coding RNA [NR_040094]",NR_040094,
16765,A_23_P37877,nuclear prelamin A recognition factor-like,CIAO3,NARFL,"Homo sapiens nuclear prelamin A recognition factor-like (NARFL), mRNA [NM_022493]",NM_022493,64428.0
16768,A_33_P3246007,apolipoprotein A-I binding protein,NAXE,APOA1BP,"Homo sapiens apolipoprotein A-I binding protein (APOA1BP), mRNA [NM_144772]",NM_144772,128240.0
29927,A_33_P3257708,apolipoprotein A-I binding protein,NAXE,APOA1BP,"Homo sapiens apolipoprotein A-I binding protein (APOA1BP), mRNA [NM_144772]",NM_144772,128240.0
16770,A_23_P24529,chromosome 11 open reading frame 57,NKAPD1,C11orf57,"Homo sapiens chromosome 11 open reading frame 57 (C11orf57), transcript variant 1, mRNA [NM_018195]",NM_018195,55216.0
16794,A_33_P3383436,dehydrogenase/reductase (SDR family) member 4 like 2,DHRS4L1,DHRS4L2,"Homo sapiens dehydrogenase/reductase (SDR family) member 4 like 2 (DHRS4L2), transcript variant 3, mRNA [NM_001193636]",NM_001082488,317749.0
16848,A_23_P346431,"family with sequence similarity 194, member A",ERICH6,FAM194A,"Homo sapiens family with sequence similarity 194, member A (FAM194A), mRNA [NM_152394]",NM_152394,
16863,A_33_P3347437,uncharacterized LOC441355,MIR2052HG,FLJ39080,"Homo sapiens uncharacterized LOC441355 (FLJ39080), long non-coding RNA [NR_033830]",NR_033830,441355.0
16893,A_24_P383581,chromosome 19 open reading frame 70,MICOS13,C19orf70,"Homo sapiens chromosome 19 open reading frame 70 (C19orf70), mRNA [NM_205767]",NM_205767,125988.0
16902,A_32_P141418,armadillo repeat containing 4,ODAD2,ARMC4,"Homo sapiens armadillo repeat containing 4 (ARMC4), mRNA [NM_018076]",NM_018076,55130.0
16933,A_33_P3297205,chromosome 22 open reading frame 29,RTL10,C22orf29,"Homo sapiens chromosome 22 open reading frame 29 (C22orf29), mRNA [NM_024627]",NM_024627,79680.0
16955,A_23_P307502,chromosome 9 open reading frame 53,CDKN2A-DT,C9orf53,"Homo sapiens chromosome 9 open reading frame 53 (C9orf53), long non-coding RNA [NR_024274]",NR_024274,51198.0
16995,A_23_P147199,zinc finger protein 271,ZNF271P,ZNF271,"Homo sapiens zinc finger protein 271 (ZNF271), transcript variant 1, non-coding RNA [NR_024565]",NR_024565,10778.0
22795,A_32_P42780,zinc finger protein 271,ZNF271P,ZNF271,"Homo sapiens zinc finger protein 271 (ZNF271), transcript variant 1, non-coding RNA [NR_024565]",NR_024565,10778.0
17022,A_23_P201808,phosphatidic acid phosphatase type 2B,PLPP3,PPAP2B,"Homo sapiens phosphatidic acid phosphatase type 2B (PPAP2B), mRNA [NM_003713]",NM_003713,8613.0
17026,A_23_P9392,chromosome 9 open reading frame 114,SPOUT1,C9orf114,"Homo sapiens chromosome 9 open reading frame 114 (C9orf114), mRNA [NM_016390]",NM_016390,51490.0
